Recital	Forces Unformatted	Attribute (Dropdown)	Parent Heading (Dropdown)	Formatted Force (Autogenerated)	Patterns with Hyperlinks (HTML)	General Category	Art Title	Art. Link (Autogen)	Art.
84	Data Protection Impact Assessments are required in situations which present high risk to the rights of users. The supervisory authorities shall make public a list of processing operations which are likely to present these risks, and another where no risks should be present. Prior to finalization authorities will seek consistency on this. Mitigation of high risks must be demonstrated for compliance, consulting the supervisory authority where necessary.	Impact Assessment	Data Protection Impact Assessment	Data Protection Impact Assessments are required in situations which present high risk to the rights of users. The supervisory authorities shall make public a list of processing operations which are likely to present these risks, and another where no risks should be present. Prior to finalization authorities will seek consistency on this. Mitigation of high risks must be demonstrated for compliance, consulting the supervisory authority where necessary.  Data protection impact assessment; Recital 84 	This pertains to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> patterns rather than <a class="strategy" href="https://privacypatterns.org/categories/control">control</a>. However, the results of a DPIA may also influence consent. Thus <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may include it.	Special Obligations	Data protection impact assessment	https://gdpr-info.eu/art-35-gdpr	35
90	Data Protection Impact Assessments shall include systematic descriptions of processing purposes, grounds, and means; their proportionality; resulting risks; and prospective mitigation strategies therein. Review must also take place in ongoing risk prone or uncertain conditions, considering the likelihood and severity of risks to personal data.	Impact Assessment	Data Protection Impact Assessment	Data Protection Impact Assessments shall include systematic descriptions of processing purposes, grounds, and means; their proportionality; resulting risks; and prospective mitigation strategies therein. Review must also take place in ongoing risk prone or uncertain conditions, considering the likelihood and severity of risks to personal data.  Data protection impact assessment; Recital 90 	This may include <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Data protection impact assessment	https://gdpr-info.eu/art-35-gdpr	35
91	Controllers must use Data Protection Impact Assessments where many users or much detail is processed, where untested, sensitive, or based on systematic profiling. This is especially the case concerning bulk processing or automated decisions covering sensitive data, or which can produce significant effects. Even systematic monitoring of public information may suggest high risk to user rights and freedoms. This is particularly the case where there is difficulty in exercising those rights.	Impact Assessment, Automated Processing, Profiling	Data Protection Impact Assessment	Controllers must use Data Protection Impact Assessments where many users or much detail is processed, where untested, sensitive, or based on systematic profiling. This is especially the case concerning bulk processing or automated decisions covering sensitive data, or which can produce significant effects. Even systematic monitoring of public information may suggest high risk to user rights and freedoms. This is particularly the case where there is difficulty in exercising those rights.  Data protection impact assessment; Recital 91 	This may include <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Data protection impact assessment	https://gdpr-info.eu/art-35-gdpr	35
7	Natural persons should have control over their personal data.	All	Giving users sufficient control over their personal data	Natural persons should have control over their personal data.  Subject-matter and objectives; Recital 7 	As this information influences consent, all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns, and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a>, and <a class="pattern" href="https://privacypatterns.org/patterns/Negotiation-of-Privacy-Policy">Negotiation of Privacy Policy</a> should mention it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. Due to potential for misuse, <a class="pattern" href="https://privacypatterns.org/patterns/Reciprocity">Reciprocity</a> and Payback also benefit. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This may also feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	User Rights	Subject-matter and objectives	https://gdpr-info.eu/art-1-gdpr	1
59	Users must be provided with electronic means for complementary and timely personal data access, correction, removal, and objection to processing. Updates, such as non-compliance, must be explained (e.g. unidentifiable users) without delay, at most within a month. Where proportionate, two further months may be granted. Users must be informed of their right to remedy.	All	Giving users sufficient control over their personal data	Users must be provided with electronic means for complementary and timely personal data access, correction, removal, and objection to processing. Updates, such as non-compliance, must be explained (e.g. unidentifiable users) without delay, at most within a month. Where proportionate, two further months may be granted. Users must be informed of their right to remedy.  Transparent information communication and modalities for the exercise of the rights of the data subject; Recital 59 	Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. This may also affect any <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> pattern, including all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns, <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a>, and <a class="pattern" href="https://privacypatterns.org/patterns/Negotiation-of-Privacy-Policy">Negotiation of Privacy Policy</a>. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. It may also feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	User Rights	Transparent information communication and modalities for the exercise of the rights of the data subject	https://gdpr-info.eu/art-12-gdpr	12
69	Users have the right to object to any processing, it is the controller's responsibility to demonstrate that public or legitimate interests override the user's particular situation. The user's objection may be automated according to technical specification.	Object	Giving users sufficient control over their personal data	Users have the right to object to any processing, it is the controller's responsibility to demonstrate that public or legitimate interests override the user's particular situation. The user's objection may be automated according to technical specification.  Right to object; Recital 69 	This influences choices made by users, and is mostly <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> based. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a> may also feature it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. It is also a part of <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	User Rights	Right to object	https://gdpr-info.eu/art-21-gdpr	21
70	Users must be separately and clearly informed of their right to object to direct marketing free of charge and at any time. This should occur by the first instance of communication with the user.	Object	Giving users sufficient control over their personal data	Users must be separately and clearly informed of their right to object to direct marketing free of charge and at any time. This should occur by the first instance of communication with the user.  Right to object; Recital 70 	This influences choices made by users, and is mostly <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> based. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a> may feature it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. It is also a part of <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	User Rights	Right to object	https://gdpr-info.eu/art-21-gdpr	21
68	Users who consent to processing outside of legal obligations, or who undergo automated processing, should be provided with data portability. Their data should be formatted in a common and interoperable format. Where feasible, the user has the right for the data to transfer directly to another controller. This right does not override the rights of others.	Portability	Giving users sufficient control over their personal data	Users who consent to processing outside of legal obligations, or who undergo automated processing, should be provided with data portability. Their data should be formatted in a common and interoperable format. Where feasible, the user has the right for the data to transfer directly to another controller. This right does not override the rights of others.  Right to data portability; Recital 68 	This is about a choice made by users, and is related to <a class="strategy" href="https://privacypatterns.org/categories/control">control</a>, <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, and <a class="strategy" href="https://privacypatterns.org/categories/minimize">minimize</a> as it includes removal. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a> may feature it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. It is also a part of <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	User Rights	Right to data portability	https://gdpr-info.eu/art-20-gdpr	20
65	Users should be able to easily and freely rectify or retract consent for their data without undue delay. Users may request that data without legitimate processing grounds, such as their consent, are erased. Such legitimate purposes may also include free speech, public interest, legal claims, or legal obligation. A legal obligation can also require erasure.	Rectification and Erasure	Giving users sufficient control over their personal data	Users should be able to easily and freely rectify or retract consent for their data without undue delay. Users may request that data without legitimate processing grounds, such as their consent, are erased. Such legitimate purposes may also include free speech, public interest, legal claims, or legal obligation. A legal obligation can also require erasure.  Right to rectification and erasure; Recital 65 	This may influence user consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also pertains to aspects of choice thereafter. Thus <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Selective-Access-Control">Selective Access Control</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Enable-Disable-Functions">Enable/Disable Functions</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Buddy-List">Buddy List</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Negotiation-of-Privacy-Policy">Negotiation of Privacy Policy</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Active-Broadcast-of-Presence">Active Broadcast of Presence</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Masquerade">Masquerade</a> apply.	User Rights	Right to rectification and erasure	https://gdpr-info.eu/chapter-3	16,17
66	Controllers requested to remove or restrict publicly facing personal data should, within reason, also relay this to other controllers possessing the data.	Rectification and Erasure	Giving users sufficient control over their personal data	Controllers requested to remove or restrict publicly facing personal data should, within reason, also relay this to other controllers possessing the data.  Right to erasure and restriction of processing; Recital 66 	This is about a choice made by users, and is related to <a class="strategy" href="https://privacypatterns.org/categories/control">control</a>, <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, and <a class="strategy" href="https://privacypatterns.org/categories/minimize">minimize</a> as it includes removal. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a> may feature it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. It is also a part of <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	User Rights	Right to erasure and restriction of processing	https://gdpr-info.eu/chapter-3	17,19
67	User requests to restrict processing may be honored through temporary storage (or removal where permitted), and where automated, technical means may enforce these restrictions, making their restricted state clearly visible. Restriction may be on grounds of inaccuracy, illegitimate interest, unlawfulness, or legal claims. Users must be notified before restrictions are lifted.	Restriction	Giving users sufficient control over their personal data	User requests to restrict processing may be honored through temporary storage (or removal where permitted), and where automated, technical means may enforce these restrictions, making their restricted state clearly visible. Restriction may be on grounds of inaccuracy, illegitimate interest, unlawfulness, or legal claims. Users must be notified before restrictions are lifted.  Right to restriction of processing; Recital 67 	This is about a choice made by users, and is related to <a class="strategy" href="https://privacypatterns.org/categories/control">control</a>, <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, and <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a> as it includes removal of access. <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a> may feature it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. Notice on this may further be <a class="pattern" href="https://privacypatterns.org/patterns/Ambient-Notice">Ambient</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Asynchronous-Notice">Asynchronous</a>. Policy information therein can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Policy-Matching-Display">Policy Matching</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Dynamic-Privacy-Policy-Display">Dynamic</a>, or a simple <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Policy-Display">Privacy Policy Display</a>, enriched by appropriate <a class="pattern" href="https://privacypatterns.org/patterns/Layered-Policy-Design">Layering</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Wording">Wording</a>. An <a class="pattern" href="https://privacypatterns.org/patterns/Abridged-Terms-and-Conditions">Abridged</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Network-Client">Standardized Format</a> such as <a class="pattern" href="https://privacypatterns.org/patterns/Platform-for-Privacy-Preferences">PPP</a> may also help. It is also a part of <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	User Rights	Right to restriction of processing	https://gdpr-info.eu/art-18-gdpr	18
14	The GDPR only applies to natural persons.	Applicability	Legal grounds to process personal data	The GDPR only applies to natural persons.  Material scope; Recital 14 	N/A	Considerations	Material scope	https://gdpr-info.eu/art-2-gdpr	2
26	Controllers are not held to data protection principles where the data processed is reasonably difficult or expensive to make identifiable.	Applicability	Legal grounds to process personal data	Controllers are not held to data protection principles where the data processed is reasonably difficult or expensive to make identifiable.  No applicable Articles; Recital 26 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>.	Considerations	No applicable Articles	https://gdpr-info.eu/recitals	N/A
27	Controllers may freely process the data of deceased persons, regardless of identifiability, unless otherwise restricted by the state.	Applicability	Legal grounds to process personal data	Controllers may freely process the data of deceased persons, regardless of identifiability, unless otherwise restricted by the state.  Definitions; Recital 27 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Definitions	https://gdpr-info.eu/art-4-gdpr	4
2	Data protection is independent of the nationality or residence of a user.	All	Legal grounds to process personal data	Data protection is independent of the nationality or residence of a user.  Subject-matter and objectives; Recital 2 	N/A	User Rights	Subject-matter and objectives	https://gdpr-info.eu/art-1-gdpr	1
100	Controllers are encouraged to use certification mechanisms, seals, and marks to allow users to quickly assess the level of data protection afforded. Details on these shall be made available by the Board. The issuing body must be provided with the necessary access to processing activities for assessment.	Certification	Data protection certification	Controllers are encouraged to use certification mechanisms, seals, and marks to allow users to quickly assess the level of data protection afforded. Details on these shall be made available by the Board. The issuing body must be provided with the necessary access to processing activities for assessment.  Certification; Recital 100 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. Policy information therein can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Policy-Matching-Display">Policy Matching</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Dynamic-Privacy-Policy-Display">Dynamic</a>, or a simple <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Policy-Display">Privacy Policy Display</a>, enriched by appropriate <a class="pattern" href="https://privacypatterns.org/patterns/Layered-Policy-Design">Layering</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Wording">Wording</a>. An <a class="pattern" href="https://privacypatterns.org/patterns/Abridged-Terms-and-Conditions">Abridged</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Network-Client">Standardized Format</a> such as <a class="pattern" href="https://privacypatterns.org/patterns/Platform-for-Privacy-Preferences">PPP</a> may also help. 	Considerations	Certification	https://gdpr-info.eu/art-42-gdpr	42
166	The Commission may provide specific certification mechanisms, seals, or icons in cooperation with parliament and the council.	Certification	Data protection certification	The Commission may provide specific certification mechanisms, seals, or icons in cooperation with parliament and the council.  Exercise of the delegation; Recital 166 	N/A	Considerations	Exercise of the delegation	https://gdpr-info.eu/art-92-gdpr	92
A43	Accredited certification bodies are responsible for proper assessment, and may certify a controller or processor for at most 3 years at a time. Accreditation lasts for at most 5 years at a time. For either of these, renewal is possible, given requirements remain satisfied.	Certification	Data protection certification	Accredited certification bodies are responsible for proper assessment, and may certify a controller or processor for at most 3 years at a time. Accreditation lasts for at most 5 years at a time. For either of these, renewal is possible, given requirements remain satisfied.  Certification bodies; Recital A43 	N/A	Considerations	Certification bodies	https://gdpr-info.eu/art-43-gdpr	43
81	Controllers should only use processors which provide, in writing, sufficient guarantees and assistance with data protection compliance, such as through approved codes of conduct or certification. A mechanism should bind any processors to lawful processing on the controller's behalf, such as a contract, or standard contractual clauses, detailing the specific processing requirements, nature, restrictions, and potential effects on users. Processors who determine purposes or means will be treated as controllers.	Protection, Codes of Conduct, Certification, Standard Clauses	Outsourced processing to another entity	Controllers should only use processors which provide, in writing, sufficient guarantees and assistance with data protection compliance, such as through approved codes of conduct or certification. A mechanism should bind any processors to lawful processing on the controller's behalf, such as a contract, or standard contractual clauses, detailing the specific processing requirements, nature, restrictions, and potential effects on users. Processors who determine purposes or means will be treated as controllers.  Processors and processing under the authority of the controller or processor; Recital 81 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	General Obligations	Processors and processing under the authority of the controller or processor	https://gdpr-info.eu/chapter-4	28,29
95	Prior consultation for impact assessments requires information on processing responsibility; purposes and means; measures and safeguards; the contact details of any data protection officer; the assessment itself; and any other requested detail. Upon request, processors must help controllers to demonstrate compliance with the requirements identified through impact assessments.	Impact Assessment	Outsourced processing to another entity	Prior consultation for impact assessments requires information on processing responsibility; purposes and means; measures and safeguards; the contact details of any data protection officer; the assessment itself; and any other requested detail. Upon request, processors must help controllers to demonstrate compliance with the requirements identified through impact assessments.  Prior consultation; Recital 95 	This may include <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Prior consultation	https://gdpr-info.eu/art-36-gdpr	36
103	The European Commission may provide or revoke an adequacy decision on an entity's level of data protection, establishing its appropriateness for transfers. Adequacy is based on laws and rights, use of independent supervisory authorities, as well as international commitments and obligations.	Adequacy Decision	Personal data which needs to be processed in a third country	The European Commission may provide or revoke an adequacy decision on an entity's level of data protection, establishing its appropriateness for transfers. Adequacy is based on laws and rights, use of independent supervisory authorities, as well as international commitments and obligations.  Transfers on the basis of an adequacy decision; Recital 103 	This may feature within <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. It may also be mentioned in <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, as it may influence ongoing consent.	Considerations	Transfers on the basis of an adequacy decision	https://gdpr-info.eu/art-45-gdpr	45
107	Recognition by the Union of an entity having equivalently adequate data protection is subject to change. Up to date decisions shall be published by the Commission on its website.	Adequacy Decision	Personal data which needs to be processed in a third country	Recognition by the Union of an entity having equivalently adequate data protection is subject to change. Up to date decisions shall be published by the Commission on its website.  Transfers on the basis of an adequacy decision; Recital 107 	This may feature within <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. It may also be mentioned in <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, as it may influence consent.	Considerations	Transfers on the basis of an adequacy decision	https://gdpr-info.eu/art-45-gdpr	45
169	An adequacy decision may be revised by the commission. It is monitored, and reviewed at least every 4 years. It may even be revoked immediately if duly justified. In these cases the Commission shall consult with the body to attempt to remedy the situation.	Adequacy Decision, Third Country	Personal data which needs to be processed in a third country	An adequacy decision may be revised by the commission. It is monitored, and reviewed at least every 4 years. It may even be revoked immediately if duly justified. In these cases the Commission shall consult with the body to attempt to remedy the situation.  Exercise of the delegation; Recital 169 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. 	Considerations	Exercise of the delegation	https://gdpr-info.eu/art-92-gdpr	92
A96	International agreements on personal data transfer to third countries compliant prior to the GDPR publication remain valid until changed.	Regulation, Third Country, Adequacy Decision	Personal data which needs to be processed in a third country	International agreements on personal data transfer to third countries compliant prior to the GDPR publication remain valid until changed.  Relationship with previously concluded Agreements; Recital A96 	N/A	Considerations	Relationship with previously concluded Agreements	https://gdpr-info.eu/art-96-gdpr	96
111	Controllers may perform international transfers without an adequacy decision where there is informed consent, or public interest, taking fundamental rights into account. This includes legal defense, vital interest, seeing a contract to conclusion and limited transfers made from a public register in adherence to member state law. Where documented assessment shows that both binding corporate rules and the above criteria are insufficient, transfers must be occasional, limited in scope, and necessary. Users must be informed of the compelling legitimate interests for these transfers. 	Legitimate Interest, Third Country, Adequacy Decision	Personal data which needs to be processed in a third country	Controllers may perform international transfers without an adequacy decision where there is informed consent, or public interest, taking fundamental rights into account. This includes legal defense, vital interest, seeing a contract to conclusion and limited transfers made from a public register in adherence to member state law. Where documented assessment shows that both binding corporate rules and the above criteria are insufficient, transfers must be occasional, limited in scope, and necessary. Users must be informed of the compelling legitimate interests for these transfers.   Derogations for specific situations; Recital 111 	This may feature within <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. It may also be mentioned in <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, as it may influence consent. This is also related to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Grounds	Derogations for specific situations	https://gdpr-info.eu/art-49-gdpr	49
101	Controllers should ensure that any international or onward transfers of personal data from the Union ensure protection and compliance with the same principles as in the Union.	Adequacy Decision	Personal data which needs to be processed in a third country	Controllers should ensure that any international or onward transfers of personal data from the Union ensure protection and compliance with the same principles as in the Union.  General principle for transfers; Recital 101 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	General principle for transfers	https://gdpr-info.eu/art-44-gdpr	44
108	Controllers must use appropriate safeguards in countries lacking an adequacy decision, such as binding corporate rules, standard data protection clauses adopted by the commission or supervisory authority, or contractual clauses authorized therein. Use of these safeguards and assurances negates the need for specific authorization from authorities. However, this does not apply to non-standard clauses and provisions.	Adequacy Decision, BCR, Standard Clauses, Codes of Conduct, Certification	Personal data which needs to be processed in a third country	Controllers must use appropriate safeguards in countries lacking an adequacy decision, such as binding corporate rules, standard data protection clauses adopted by the commission or supervisory authority, or contractual clauses authorized therein. Use of these safeguards and assurances negates the need for specific authorization from authorities. However, this does not apply to non-standard clauses and provisions.  Transfers subject to appropriate safeguards; Recital 108 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Transfers subject to appropriate safeguards	https://gdpr-info.eu/art-46-gdpr	46
